rank	weeks_on_list	primary_isbn10	primary_isbn13	publisher	title	author	date
1	81	0735219095	9780735219090	Putnam	WHERE THE CRAWDADS SING	Delia Owens	07 Apr 2020
2	1	1538748142	9781538748145	Grand Central	THE BOY FROM THE WOODS	Harlan Coben	07 Apr 2020
3	9	1250209765	9781250209764	Flatiron	AMERICAN DIRT	Jeanine Cummins	07 Apr 2020
4	2	0805096604	9780805096606	Holt	THE MIRROR & THE LIGHT	Hilary Mantel	07 Apr 2020
5	1	0593128400	9780593128404	Del Rey	STAR WARS: THE RISE OF SKYWALKER	Rae Carson	07 Apr 2020
6	1	0440001552	9780440001553	Ace	SMOKE BITTEN	Patricia Briggs	07 Apr 2020
7	2	1982137444	9781982137441	Atria	IN FIVE YEARS	Rebecca Serle	07 Apr 2020
8	4	0316420336	9780316420334	Little, Brown	BLINDSIDE	James Patterson and James O Born	07 Apr 2020
9	2	0593083083	9780593083086	Putnam	JOURNEY OF THE PHARAOHS	Clive Cussler and Graham Brown	07 Apr 2020
10	2	006294150X	9780062941503	Morrow	MY DARK VANESSA	Kate Elizabeth Russell	07 Apr 2020
11	42	1250301696	9781250301697	Celadon	THE SILENT PATIENT	Alex Michaelides	07 Apr 2020
12	3	1635574048	9781635574043	Bloomsbury	HOUSE OF EARTH AND BLOOD	Sarah J Maas	07 Apr 2020
13	3	0525538232	9780525538233	Putnam	LONG RANGE	CJ Box	07 Apr 2020
14	23	0399562486	9780399562488	Pamela Dorman/Viking	THE GIVER OF STARS	Jojo Moyes	07 Apr 2020
15	26	0062963678	9780062963673	Harper	THE DUTCH HOUSE	Ann Patchett	07 Apr 2020
1	1	0805096604	9780805096606	Holt	THE MIRROR & THE LIGHT	Hilary Mantel	31 Mar 2020
2	80	0735219095	9780735219090	Putnam	WHERE THE CRAWDADS SING	Delia Owens	31 Mar 2020
3	1	0593083083	9780593083086	Putnam	JOURNEY OF THE PHARAOHS	Clive Cussler and Graham Brown	31 Mar 2020
4	8	1250209765	9781250209764	Flatiron	AMERICAN DIRT	Jeanine Cummins	31 Mar 2020
5	1	1250237270	9781250237279	St. Martin's	A GOOD NEIGHBORHOOD	Therese Anne Fowler	31 Mar 2020
6	1	006294150X	9780062941503	Morrow	MY DARK VANESSA	Kate Elizabeth Russell	31 Mar 2020
7	2	1635574048	9781635574043	Bloomsbury	HOUSE OF EARTH AND BLOOD	Sarah J Maas	31 Mar 2020
8	2	0525538232	9780525538233	Putnam	LONG RANGE	CJ Box	31 Mar 2020
9	3	0316420336	9780316420334	Little, Brown	BLINDSIDE	James Patterson and James O Born	31 Mar 2020
10	2	0399179569	9780399179563	Delacorte	THE NUMBERS GAME	Danielle Steel	31 Mar 2020
