the first
couple of lines
contain only
nonsense
party,variable,value
CDU,vote,26.799999
CDU,seat,28.200001
CDU,electionyear,2017
CDU,family,4. Christian-democratic
CDU,govt,1
CDU,position,6.0625
CDU,eu_salience,5.9375
CDU,eu_dissent,4
CDU,eu_asylum,5.875
CDU,eu_budgets,4.0625
CDU,lrgen,5.5625
CDU,lrecon,6.0625
CDU,lrecon_clear,6.0666666
CDU,lrecon_salience,6.4000001
CDU,galtan,5.8000002
CDU,galtan_clear,5.5999999
CDU,galtan_salience,6
CDU,immigrate_policy,5.625
CDU,immigra_salience,6.5999999
CDU,immigrate_dissent,7.3333335
CDU,multiculturalism,6.6666665
CDU,multicult_salience,6.5333333
CDU,multicult_dissent,5.6428571
SPD,vote,20.5
SPD,seat,21.6
SPD,electionyear,2017
SPD,family,5. socialist
SPD,govt,1
SPD,position,6.5625
SPD,eu_salience,7.125
SPD,eu_dissent,3
SPD,eu_asylum,6.3125
SPD,eu_budgets,5.3125
SPD,lrgen,3.875
SPD,lrecon,3.4375
SPD,lrecon_clear,6.7333331
SPD,lrecon_salience,7.2666669
SPD,galtan,3.6666667
SPD,galtan_clear,6
SPD,galtan_salience,6.0714288
SPD,immigrate_policy,3.8125
SPD,immigra_salience,6.5333333
SPD,immigrate_dissent,5.1333332
SPD,multiculturalism,4.1999998
SPD,multicult_salience,6.4000001
SPD,multicult_dissent,4.2142859
FDP,vote,10.7
FDP,seat,11.3
FDP,electionyear,2017
FDP,family,3. liberal
FDP,govt,0
FDP,position,4.5625
FDP,eu_salience,5.625
FDP,eu_dissent,3.375
FDP,eu_asylum,4.375
FDP,eu_budgets,3
FDP,lrgen,6.5625
FDP,lrecon,8.25
FDP,lrecon_clear,9.0666666
FDP,lrecon_salience,8.333333
FDP,galtan,3.8
FDP,galtan_clear,6.6666665
FDP,galtan_salience,6.2142859
FDP,immigrate_policy,6.4375
FDP,immigra_salience,6.8666668
FDP,immigrate_dissent,3.3571429
FDP,multiculturalism,5.7142859
FDP,multicult_salience,6.8666668
FDP,multicult_dissent,3.3571429
Grunen,vote,8.8999996
Grunen,seat,9.3999996
Grunen,electionyear,2017
Grunen,family,7. green
Grunen,govt,0
Grunen,position,6.7333331
Grunen,eu_salience,6.3125
Grunen,eu_dissent,2.375
Grunen,eu_asylum,6.5625
Grunen,eu_budgets,5.875
Grunen,lrgen,2.9375
Grunen,lrecon,3.25
Grunen,lrecon_clear,6.2666669
Grunen,lrecon_salience,4.8000002
Grunen,galtan,1.4
Grunen,galtan_clear,8.7333336
Grunen,galtan_salience,8.5
Grunen,immigrate_policy,2.25
Grunen,immigra_salience,7.6666665
Grunen,immigrate_dissent,2.5
Grunen,multiculturalism,1.5333333
Grunen,multicult_salience,7.8666668
Grunen,multicult_dissent,2.2142856
Linke,vote,9.1999998
Linke,seat,9.6999998
Linke,electionyear,2017
Linke,family,6. radical left
Linke,govt,0
Linke,position,4.1875
Linke,eu_salience,4.6875
Linke,eu_dissent,4.875
Linke,eu_asylum,5.5
Linke,eu_budgets,4.6666665
Linke,lrgen,1.4375
Linke,lrecon,1.0625
Linke,lrecon_clear,8.5333338
Linke,lrecon_salience,8.0714283
Linke,galtan,4.1333332
Linke,galtan_clear,6.4666667
Linke,galtan_salience,5.2857141
Linke,immigrate_policy,3.1875
Linke,immigra_salience,5.5999999
Linke,immigrate_dissent,6.7692308
Linke,multiculturalism,3.5
Linke,multicult_salience,6.7142859
Linke,multicult_dissent,4.5714288
CSU,vote,6.1999998
CSU,seat,6.5
CSU,electionyear,2017
CSU,family,4. Christian-democratic
CSU,govt,1
CSU,position,4.5625
CSU,eu_salience,5.625
CSU,eu_dissent,3.25
CSU,eu_asylum,4.25
CSU,eu_budgets,3
CSU,lrgen,7.375
CSU,lrecon,6.125
CSU,lrecon_clear,6.9333334
CSU,lrecon_salience,5.9333334
CSU,galtan,7.4666667
CSU,galtan_clear,7.8666668
CSU,galtan_salience,7.9285712
CSU,immigrate_policy,7.8125
CSU,immigra_salience,8.8000002
