rank,weeks_on_list,primary_isbn10,primary_isbn13,publisher,title,author,date
1,81,0735219095,9780735219090,Putnam,WHERE THE CRAWDADS SING,Delia Owens,2020-04-07
2,1,1538748142,9781538748145,Grand Central,THE BOY FROM THE WOODS,Harlan Coben,2020-04-07
3,9,1250209765,9781250209764,Flatiron,AMERICAN DIRT,Jeanine Cummins,2020-04-07
4,2,0805096604,9780805096606,Holt,THE MIRROR & THE LIGHT,Hilary Mantel,2020-04-07
5,1,0593128400,9780593128404,Del Rey,STAR WARS: THE RISE OF SKYWALKER,Rae Carson,2020-04-07
6,1,0440001552,9780440001553,Ace,SMOKE BITTEN,Patricia Briggs,2020-04-07
7,2,1982137444,9781982137441,Atria,IN FIVE YEARS,Rebecca Serle,2020-04-07
8,4,0316420336,9780316420334,"Little, Brown",BLINDSIDE,James Patterson and James O Born,2020-04-07
9,2,0593083083,9780593083086,Putnam,JOURNEY OF THE PHARAOHS,Clive Cussler and Graham Brown,2020-04-07
10,2,006294150X,9780062941503,Morrow,MY DARK VANESSA,Kate Elizabeth Russell,2020-04-07
11,42,1250301696,9781250301697,Celadon,THE SILENT PATIENT,Alex Michaelides,2020-04-07
12,3,1635574048,9781635574043,Bloomsbury,HOUSE OF EARTH AND BLOOD,Sarah J Maas,2020-04-07
13,3,0525538232,9780525538233,Putnam,LONG RANGE,CJ Box,2020-04-07
14,23,0399562486,9780399562488,Pamela Dorman/Viking,THE GIVER OF STARS,Jojo Moyes,2020-04-07
15,26,0062963678,9780062963673,Harper,THE DUTCH HOUSE,Ann Patchett,2020-04-07
1,1,0805096604,9780805096606,Holt,THE MIRROR & THE LIGHT,Hilary Mantel,2020-03-31
2,80,0735219095,9780735219090,Putnam,WHERE THE CRAWDADS SING,Delia Owens,2020-03-31
3,1,0593083083,9780593083086,Putnam,JOURNEY OF THE PHARAOHS,Clive Cussler and Graham Brown,2020-03-31
4,8,1250209765,9781250209764,Flatiron,AMERICAN DIRT,Jeanine Cummins,2020-03-31
5,1,1250237270,9781250237279,St. Martin's,A GOOD NEIGHBORHOOD,Therese Anne Fowler,2020-03-31
6,1,006294150X,9780062941503,Morrow,MY DARK VANESSA,Kate Elizabeth Russell,2020-03-31
7,2,1635574048,9781635574043,Bloomsbury,HOUSE OF EARTH AND BLOOD,Sarah J Maas,2020-03-31
8,2,0525538232,9780525538233,Putnam,LONG RANGE,CJ Box,2020-03-31
9,3,0316420336,9780316420334,"Little, Brown",BLINDSIDE,James Patterson and James O Born,2020-03-31
10,2,0399179569,9780399179563,Delacorte,THE NUMBERS GAME,Danielle Steel,2020-03-31
11,1,1982137444,9781982137441,Atria,IN FIVE YEARS,Rebecca Serle,2020-03-31
12,41,1250301696,9781250301697,Celadon,THE SILENT PATIENT,Alex Michaelides,2020-03-31
13,25,0062963678,9780062963673,Harper,THE DUTCH HOUSE,Ann Patchett,2020-03-31
14,11,052554190X,9780525541905,Putnam,SUCH A FUN AGE,Kiley Reid,2020-03-31
15,2,073521672X,9780735216723,Riverhead,DEACON KING KONG,James McBride,2020-03-31
1,1,1635574048,9781635574043,Bloomsbury,HOUSE OF EARTH AND BLOOD,Sarah J Maas,2020-03-24
2,1,0525538232,9780525538233,Putnam,LONG RANGE,CJ Box,2020-03-24
3,79,0735219095,9780735219090,Putnam,WHERE THE CRAWDADS SING,Delia Owens,2020-03-24
4,1,0399179569,9780399179563,Delacorte,THE NUMBERS GAME,Danielle Steel,2020-03-24
5,7,1250209765,9781250209764,Flatiron,AMERICAN DIRT,Jeanine Cummins,2020-03-24
6,2,0316420336,9780316420334,"Little, Brown",BLINDSIDE,James Patterson and James O Born,2020-03-24
7,1,1250202035,9781250202031,St. Martin's,YOU ARE NOT ALONE,Greer Hendricks and Sarah Pekkanen,2020-03-24
8,1,0802148530,9780802148537,Grove,WRITERS & LOVERS,Lily King,2020-03-24
9,40,1250301696,9781250301697,Celadon,THE SILENT PATIENT,Alex Michaelides,2020-03-24
10,1,0062671189,9780062671189,Harper,THE NIGHT WATCHMAN,Louise Erdrich,2020-03-24
11,1,039918189X,9780399181894,Ballantine,THE JETSETTERS,Amanda Eyre Ward,2020-03-24
12,10,052554190X,9780525541905,Putnam,SUCH A FUN AGE,Kiley Reid,2020-03-24
13,24,0062963678,9780062963673,Harper,THE DUTCH HOUSE,Ann Patchett,2020-03-24
14,1,073521672X,9780735216723,Riverhead,DEACON KING KONG,James McBride,2020-03-24
15,22,0399562486,9780399562488,Pamela Dorman/Viking,THE GIVER OF STARS,Jojo Moyes,2020-03-24
1,1,0316420336,9780316420334,"Little, Brown",BLINDSIDE,James Patterson and James O Born,2020-03-17
2,78,0735219095,9780735219090,Putnam,WHERE THE CRAWDADS SING,Delia Owens,2020-03-17
3,6,1250209765,9781250209764,Flatiron,AMERICAN DIRT,Jeanine Cummins,2020-03-17
4,1,1250140307,9781250140302,Minotaur,THE WARSAW PROTOCOL,Steve Berry,2020-03-17
5,39,1250301696,9781250301697,Celadon,THE SILENT PATIENT,Alex Michaelides,2020-03-17
6,1,1496718895,9781496718891,Kensington,COCONUT LAYER CAKE MURDER,Joanne Fluke,2020-03-17
7,1,1400069602,9781400069606,Random House,APEIROGON,Colum McCann,2020-03-17
8,23,0062963678,9780062963673,Harper,THE DUTCH HOUSE,Ann Patchett,2020-03-17
9,9,052554190X,9780525541905,Putnam,SUCH A FUN AGE,Kiley Reid,2020-03-17
10,21,0399562486,9780399562488,Pamela Dorman/Viking,THE GIVER OF STARS,Jojo Moyes,2020-03-17
11,4,1250207207,9781250207203,St. Martin's,GOLDEN IN DEATH,JD Robb,2020-03-17
12,6,198482015X,9781984820150,Ballantine,A LONG PETAL OF THE SEA,Isabel Allende,2020-03-17
13,20,0385544189,9780385544184,Doubleday,THE GUARDIANS,John Grisham,2020-03-17
14,4,1538747251,9781538747254,Grand Central,CROOKED RIVER,Douglas Preston and Lincoln Child,2020-03-17
15,8,198485478X,9781984854780,Dial,DEAR EDWARD,Ann Napolitano,2020-03-17
1,77,0735219095,9780735219090,Putnam,WHERE THE CRAWDADS SING,Delia Owens,2020-03-10
2,5,1250209765,9781250209764,Flatiron,AMERICAN DIRT,Jeanine Cummins,2020-03-10
3,38,1250301696,9781250301697,Celadon,THE SILENT PATIENT,Alex Michaelides,2020-03-10
4,1,0593098919,9780593098912,Berkley,ONE MINUTE OUT,Mark Greaney,2020-03-10
5,3,1250207207,9781250207203,St. Martin's,GOLDEN IN DEATH,JD Robb,2020-03-10
6,22,0062963678,9780062963673,Harper,THE DUTCH HOUSE,Ann Patchett,2020-03-10
7,8,052554190X,9780525541905,Putnam,SUCH A FUN AGE,Kiley Reid,2020-03-10
8,5,198482015X,9781984820150,Ballantine,A LONG PETAL OF THE SEA,Isabel Allende,2020-03-10
9,19,0385544189,9780385544184,Doubleday,THE GUARDIANS,John Grisham,2020-03-10
10,20,0399562486,9780399562488,Pamela Dorman/Viking,THE GIVER OF STARS,Jojo Moyes,2020-03-10
11,1,0440000173,9780440000174,Berkley,THE SUN DOWN MOTEL,Simone St James,2020-03-10
12,3,1538747251,9781538747254,Grand Central,CROOKED RIVER,Douglas Preston and Lincoln Child,2020-03-10
13,1,0778369110,9780778369110,Park Row,THE OTHER MRS.,Mary Kubica,2020-03-10
14,1,039959177X,9780399591778,Random House,THE HOLDOUT,Graham Moore,2020-03-10
15,7,198485478X,9781984854780,Dial,DEAR EDWARD,Ann Napolitano,2020-03-10
1,76,0735219095,9780735219090,Putnam,WHERE THE CRAWDADS SING,Delia Owens,2020-03-03
